PROC_CDE,ADMITTED,SEVERE,INTERMEDIATE,ED_INDICATOR
99217,1,0,0,0
99218,1,0,0,0
99219,1,0,0,0
99220,1,0,0,0
99221,1,0,0,0
99222,1,0,0,0
99223,1,0,0,0
99224,1,0,0,0
99225,1,0,0,0
99226,1,0,0,0
99227,1,0,0,0
99228,1,0,0,0
99229,1,0,0,0
99230,1,0,0,0
99231,1,0,0,0
99232,1,0,0,0
99233,1,0,0,0
99234,1,0,0,0
99235,1,0,0,0
99236,1,0,0,0
99237,1,0,0,0
99238,1,0,0,0
99239,1,0,0,0
99240,1,0,0,0
99241,1,0,0,0
99242,1,0,0,0
99243,1,0,0,0
99244,1,0,0,0
99245,1,0,0,0
99246,1,0,0,0
99247,1,0,0,0
99248,1,0,0,0
99249,1,0,0,0
99250,1,0,0,0
99251,1,0,0,0
99252,1,0,0,0
99253,1,0,0,0
99254,1,0,0,0
99255,1,0,0,0
99284,0,1,0,0
99285,0,1,0,0
99291,0,1,0,0
99292,0,1,0,0
99282,0,0,1,0
99283,0,0,1,0
J0150,0,0,0,1
J0282,0,0,0,1
J0295,0,0,0,1
J0456,0,0,0,1
J0744,0,0,0,1
J2280,0,0,0,1
J2543,0,0,0,1
J1645,0,0,0,1
J1650,0,0,0,1
J0780,0,0,0,1
J1790,0,0,0,1
J1170,0,0,0,1
J2270,0,0,0,1
J2275,0,0,0,1
J3010,0,0,0,1
J0171,0,0,0,1
J0330,0,0,0,1
J0360,0,0,0,1
J1265,0,0,0,1
J1610,0,0,0,1
J1630,0,0,0,1
J2310,0,0,0,1
J2370,0,0,0,1
J2710,0,0,0,1
J2765,0,0,0,1
J3430,0,0,0,1
80100,0,0,0,1
80196,0,0,0,1
82003,0,0,0,1
82009,0,0,0,1
82010,0,0,0,1
82140,0,0,0,1
82553,0,0,0,1
82803,0,0,0,1
82805,0,0,0,1
83605,0,0,0,1
83874,0,0,0,1
84145,0,0,0,1
84484,0,0,0,1
84512,0,0,0,1
85378,0,0,0,1
85379,0,0,0,1
85380,0,0,0,1
90945,0,0,0,1
L1830,0,0,0,1
92950,0,0,0,1
31500,0,0,0,1
36430,0,0,0,1
36556,0,0,0,1
36569,0,0,0,1
43247,0,0,0,1
49465,0,0,0,1
62270,0,0,0,1
G0257,0,0,0,1
A9540,0,0,0,1
A9558,0,0,0,1
70160,0,0,0,1
70450,0,0,0,1
70487,0,0,0,1
70496,0,0,0,1
70498,0,0,0,1
70549,0,0,0,1
71010,0,0,0,1
71275,0,0,0,1
72125,0,0,0,1
74010,0,0,0,1
74022,0,0,0,1
78582,0,0,0,1
78585,0,0,0,1
78588,0,0,0,1
Q9963,0,0,0,1
Q9965,0,0,0,1
94002,0,0,0,1
94644,0,0,0,1
94660,0,0,0,1
21800,0,0,0,1
23650,0,0,0,1
25605,0,0,0,1
27265,0,0,0,1
29505,0,0,0,1
12004,0,0,0,1
12005,0,0,0,1
12006,0,0,0,1
12007,0,0,0,1
12011,0,0,0,1
12013,0,0,0,1
12014,0,0,0,1
12015,0,0,0,1
12016,0,0,0,1
12017,0,0,0,1
12018,0,0,0,1
12034,0,0,0,1
12035,0,0,0,1
12036,0,0,0,1
12037,0,0,0,1
12044,0,0,0,1
12045,0,0,0,1
12046,0,0,0,1
12047,0,0,0,1
12051,0,0,0,1
12052,0,0,0,1
12053,0,0,0,1
12054,0,0,0,1
12055,0,0,0,1
12056,0,0,0,1
12057,0,0,0,1
13100,0,0,0,1
13101,0,0,0,1
13102,0,0,0,1
13120,0,0,0,1
13121,0,0,0,1
13122,0,0,0,1
13131,0,0,0,1
13132,0,0,0,1
13133,0,0,0,1
13150,0,0,0,1
13151,0,0,0,1
13152,0,0,0,1
13153,0,0,0,1
G0168,0,0,0,1
