REV_CDE,ED_INDICATOR
0100,1
0101,1
0110,1
0111,1
0112,1
0113,1
0114,1
0115,1
0116,1
0117,1
0118,1
0119,1
0120,1
0121,1
0122,1
0123,1
0124,1
0125,1
0126,1
0127,1
0128,1
0129,1
0130,1
0131,1
0132,1
0133,1
0134,1
0135,1
0136,1
0137,1
0138,1
0139,1
0140,1
0141,1
0142,1
0143,1
0144,1
0145,1
0146,1
0147,1
0148,1
0149,1
0150,1
0151,1
0152,1
0153,1
0154,1
0155,1
0156,1
0157,1
0158,1
0159,1
0160,1
0164,1
0167,1
0169,1
0170,1
0171,1
0172,1
0173,1
0174,1
0179,1
0180,1
0182,1
0183,1
0185,1
0189,1
0190,1
0191,1
0192,1
0193,1
0194,1
0199,1
0200,1
0201,1
0202,1
0203,1
0204,1
0206,1
0207,1
0208,1
0209,1
0210,1
0211,1
0212,1
0213,1
0214,1
0219,1
0220,1
0221,1
0222,1
0223,1
0224,1
0229,1
0230,1
0231,1
0232,1
0233,1
0234,1
0235,1
0239,1
0240,1
0241,1
0242,1
0243,1
0249,1
0250,0
0251,0
0252,0
0253,0
0254,0
0255,0
0256,1
0257,0
0258,1
0259,0
0260,1
0261,1
0262,1
0263,1
0264,1
0269,1
0270,0
0271,0
0272,0
0273,0
0274,1
0275,1
0276,1
0277,0
0278,1
0279,0
0280,1
0289,1
0290,1
0291,1
0292,1
0293,1
0294,1
0299,1
0300,0
0301,0
0302,0
0303,0
0304,0
0305,0
0306,0
0307,0
0309,0
0310,0
0311,0
0312,0
0314,0
0319,0
0320,0
0321,1
0322,1
0323,1
0324,0
0329,0
0330,1
0331,1
0332,1
0333,1
0335,1
0339,1
0340,1
0341,1
0342,1
0343,1
0344,1
0349,1
0350,1
0351,1
0352,1
0359,1
0360,1
0361,1
0362,1
0367,1
0369,1
0370,1
0371,1
0372,1
0374,1
0379,1
0380,1
0381,1
0382,1
0383,1
0384,1
0385,1
0386,1
0387,1
0389,1
0390,1
0391,1
0392,1
0399,1
0400,1
0401,1
0402,1
0403,1
0404,1
0409,1
0410,1
0412,1
0413,1
0419,1
0420,0
0421,0
0422,0
0423,0
0424,0
0429,0
0430,0
0431,0
0432,0
0433,0
0434,0
0439,0
0440,0
0441,0
0442,0
0443,0
0444,0
0449,0
0460,1
0469,1
0470,0
0471,0
0472,0
0479,0
0480,1
0481,1
0482,1
0483,1
0489,1
0490,1
0499,1
0500,0
0509,0
0510,0
0511,0
0512,0
0513,0
0514,0
0515,0
0516,0
0517,0
0519,0
0520,0
0521,0
0522,0
0523,0
0524,0
0525,0
0526,0
0527,0
0528,0
0529,0
0530,0
0531,0
0539,0
0540,0
0541,0
0542,0
0543,1
0544,1
0545,0
0546,0
0547,0
0548,1
0549,0
0550,0
0551,0
0552,0
0559,0
0560,0
0561,0
0562,0
0569,0
0570,0
0571,0
0572,0
0579,0
0580,0
0581,0
0582,0
0583,0
0589,0
0590,0
0600,0
0601,0
0602,0
0603,0
0604,0
0609,0
0610,1
0611,1
0612,1
0614,1
0615,1
0616,1
0618,1
0619,1
0621,1
0622,1
0623,1
0624,1
0631,0
0632,0
0633,1
0634,1
0635,1
0636,1
0637,0
0640,0
0641,0
0642,0
0643,0
0644,0
0645,0
0646,0
0647,0
0648,0
0649,0
0650,0
0651,0
0652,0
0655,0
0656,0
0657,0
0658,0
0659,0
0660,0
0661,0
0662,0
0663,0
0669,0
0670,0
0671,0
0672,0
0679,0
0681,1
0682,1
0683,1
0684,1
0689,1
0700,1
0710,1
0720,1
0721,1
0722,1
0723,1
0724,1
0729,1
0730,1
0731,1
0732,1
0739,1
0740,1
0750,0
0760,1
0761,1
0762,1
0769,1
0770,0
0771,0
0780,0
0790,1
0800,1
0801,0
0802,1
0803,1
0804,1
0809,1
0810,1
0811,1
0812,1
0813,1
0814,1
0819,1
0820,0
0821,0
0822,0
0823,0
0824,0
0825,0
0829,0
0830,0
0831,0
0832,0
0833,0
0834,0
0835,0
0839,0
0840,0
0841,0
0842,0
0843,0
0844,0
0845,0
0849,0
0850,0
0851,0
0852,0
0853,0
0854,0
0855,0
0859,0
0860,1
0861,1
0880,0
0881,0
0882,0
0889,0
0900,0
0901,0
0902,0
0903,0
0904,0
0905,0
0906,0
0907,0
0911,0
0912,0
0913,0
0914,0
0915,0
0916,0
0917,0
0918,0
0919,0
0920,0
0921,1
0922,1
0923,0
0924,0
0925,0
0929,0
0931,0
0932,0
0940,0
0941,0
0942,0
0943,0
0944,0
0945,0
0946,0
0947,0
0948,0
0949,0
0951,0
0952,0
0960,0
0961,0
0962,0
0963,1
0964,1
0969,0
0971,0
0972,0
0973,0
0974,1
0975,1
0976,1
0977,0
0978,0
0979,0
0982,0
0983,0
0984,0
0985,1
0986,1
0987,0
0988,0
0989,0
0990,0
0991,0
0992,0
0993,0
0994,0
0995,0
0996,0
0997,0
0998,0
0999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
2100,0
2101,0
2102,0
2103,0
2104,0
2105,0
2106,0
2109,0
3101,0
3102,0
3103,0
3104,0
3105,0
3109,0
